Name,Price,% Price Px. - 3-Mo,% Price Px. - 12-Mo,Market Capitalization,Enterprise Value,EV / Implied ARR,EV / NTM Revenue,EV / NTM Gross Profit,EV / NTM FCF,Growth Adj. EV / NTM Revenue,Implied ARR,Net New ARR,LTM Revenue,% YoY Growth - Implied ARR,% YoY Growth - LTM Revenue,% YoY Growth - NTM Revenue,% LTM Margins - GM,% LTM Margins - S&M,% LTM Margins - R&D,% LTM Margins - G&A,% LTM Margins - OpEx,% LTM Margins - Operating Income,% LTM Margins - FCF,NTM % FCF Margin,LTM Rule of 40,NTM Rule of 40,Magic Number,Payback Period,Implied Average ACV,Customer Count,Implied ARR / FTE,Annualized OpEx / FTE,Net Dollar Retention,Multiple Return Since IPO
Adobe,$387.26,(13%),(24%),"$168,418","$167,546",7.5x,7.0x,7.8x,18.5x,0.60x,"$22,424",$792,"$21,505",11%,11%,12%,90%,24%,14%,6%,50%,40%,37%,38%,47%,50%,0.6,21.9,-,-,$730,$341,-,-
Alkami,$26.55,(32%),9%,"$2,736","$2,639",7.4x,6.0x,9.6x,86.9x,0.20x,$359,$15,$334,26%,26%,31%,63%,15%,24%,16%,55%,8%,3%,7%,29%,38%,1.2,15.3,$478,750,$382,$199,115%,0.8x
*Amplitude,$11.65,6%,1%,"$1,591","$1,298",4.2x,3.9x,5.2x,72.1x,0.40x,$313,$12,$299,9%,8%,10%,77%,45%,17%,15%,78%,(1%),4%,6%,12%,15%,0.4,43.0,$82,"3,800",$432,$332,100%,0.3x
AppFolio,$215.37,(14%),(8%),"$7,853","$7,616",9.3x,8.1x,12.5x,34.8x,0.45x,$815,($8),$794,19%,28%,18%,65%,13%,17%,8%,38%,27%,23%,23%,51%,42%,-,-,$39,"20,784",$499,$207,-,18.1x
Appian,$30.79,(13%),(21%),"$2,280","$2,435",3.7x,3.6x,4.7x,83.7x,0.34x,$667,$51,$617,15%,13%,11%,77%,36%,23%,21%,80%,(4%),0.5%,4%,14%,15%,1.0,14.7,$667,"1,000",$328,$233,116%,2.5x
AppLovin,$314.03,(8%),337%,"$107,909","$110,724",20.2x,19.4x,25.8x,37.0x,0.91x,"$5,491",$698,"$4,709",44%,43%,21%,75%,16%,8%,3%,28%,48%,44%,49%,88%,70%,3.8,4.1,-,-,"$3,582",$900,-,3.7x
Asana,$14.45,(33%),(7%),"$3,435","$3,236",4.3x,4.1x,4.6x,56.5x,0.47x,$753,$18,$724,10%,11%,9%,90%,49%,31%,16%,95%,(6%),0.4%,7%,11%,16%,0.2,66.6,"$4,458",169,$372,$369,96%,0.7x
Atlassian,$227.34,(12%),15%,"$59,563","$58,338",11.3x,10.3x,12.3x,33.8x,0.56x,"$5,146",$395,"$4,795",21%,23%,18%,84%,17%,34%,10%,61%,24%,29%,29%,52%,47%,1.9,7.6,-,-,$404,$239,-,10.4x
AvePoint,$15.05,(16%),87%,"$3,340","$3,067",8.6x,8.0x,10.5x,35.7x,0.48x,$357,$2,$330,20%,22%,17%,76%,34%,12%,15%,61%,14%,26%,22%,47%,38%,0.1,-,$14,"25,000",$122,$72,110%,1.5x
AvidXchange,$8.48,(20%),(35%),"$1,734","$1,420",3.1x,3.1x,4.2x,23.2x,0.72x,$462,$11,$439,11%,15%,4%,74%,17%,20%,17%,54%,19%,12%,12%,27%,17%,0.5,29.6,$54,"8,500",$289,$150,-,0.3x
Axon,$560.00,(11%),77%,"$43,905","$43,650",19.0x,16.7x,27.3x,95.5x,0.66x,"$2,301",$123,"$2,084",33%,33%,25%,62%,-,15%,26%,50%,13%,11%,17%,44%,43%,-,-,-,-,$561,$273,123%,42.8x
Bentley Systems,$41.94,(13%),(19%),"$13,246","$14,609",10.4x,9.9x,12.1x,33.3x,1.05x,"$1,399",$59,"$1,353",13%,10%,9%,81%,18%,19%,13%,48%,33%,31%,29%,41%,39%,1.0,15.6,$34,"41,000",$254,$139,110%,1.9x
BigCommerce,$5.99,(3%),(20%),$471,$513,1.5x,1.5x,1.9x,17.7x,0.38x,$348,$13,$333,3%,8%,4%,78%,36%,20%,16%,72%,6%,7%,8%,14%,12%,0.4,34.4,-,-,$300,$201,-,0.2x
Bill.com,$47.92,(46%),(28%),"$4,885","$4,450",3.1x,2.9x,3.4x,18.6x,0.24x,"$1,450",$16,"$1,388",14%,16%,12%,86%,33%,16%,15%,64%,22%,21%,15%,37%,27%,0.1,99.0,-,-,$629,$397,92%,2.1x
Blackbaud,$63.13,(17%),(12%),"$3,057","$4,103",3.4x,3.7x,6.1x,22.2x,-,"$1,209",$62,"$1,156",2%,5%,(3%),61%,16%,12%,6%,33%,29%,20%,17%,24%,13%,1.4,14.8,-,-,$465,$141,-,7.9x
BlackLine,$50.29,(21%),(21%),"$3,159","$3,226",4.8x,4.6x,5.8x,19.5x,0.62x,$678,$14,$653,9%,11%,7%,79%,33%,13%,13%,60%,19%,25%,23%,36%,31%,0.3,56.9,$153,"4,443",$370,$228,102%,2.9x
Blend Labs,$3.65,(17%),19%,$948,"$1,047",6.3x,5.7x,10.2x,89.0x,0.45x,$166,($15),$162,15%,3%,13%,56%,20%,22%,22%,65%,(9%),(8%),6%,(5%),19%,-,-,-,-,$164,$158,-,0.2x
*Box,$30.37,(5%),7%,"$4,416","$4,934",4.4x,4.3x,5.3x,15.1x,0.70x,"$1,118",$14,"$1,090",6%,5%,6%,81%,28%,17%,8%,53%,28%,28%,29%,33%,35%,0.2,77.8,-,-,$416,$215,102%,2.2x
*Braze,$37.03,(16%),(31%),"$3,951","$3,550",5.8x,5.4x,7.7x,84.4x,0.31x,$608,$26,$564,23%,28%,17%,69%,42%,16%,14%,72%,(3%),0.2%,6%,28%,23%,0.4,37.9,$275,"2,211",$338,$249,113%,0.5x
C3.ai,$22.62,(38%),(20%),"$3,219","$2,500",6.3x,5.6x,8.1x,-,0.26x,$395,$18,$367,26%,24%,22%,70%,41%,38%,13%,92%,(22%),(10%),(10%),14%,12%,0.5,33.6,-,-,$389,$379,-,0.5x
Clearwater,$26.49,(8%),53%,"$6,492","$6,331",12.5x,11.7x,15.0x,44.2x,0.60x,$506,$43,$452,28%,23%,20%,78%,11%,24%,11%,46%,32%,15%,27%,38%,47%,3.1,4.9,$361,"1,400",$264,$121,116%,1.5x
Cloudflare,$119.22,6%,24%,"$41,930","$41,538",22.6x,19.8x,25.2x,-,0.78x,"$1,840",$119,"$1,670",27%,29%,26%,79%,38%,16%,11%,65%,14%,10%,11%,39%,37%,0.7,20.7,$8,"237,714",$432,$272,111%,7.7x
Confluent,$26.50,(12%),(17%),"$9,281","$8,480",8.5x,7.3x,9.4x,-,0.27x,"$1,001",$61,$916,25%,25%,27%,78%,42%,23%,10%,75%,3%,(1%),3%,24%,31%,0.6,24.3,$176,"5,680",$330,$241,117%,0.7x
Couchbase,$14.47,(6%),(47%),$778,$635,2.9x,2.8x,3.1x,-,0.28x,$220,$13,$209,10%,16%,10%,89%,57%,25%,14%,96%,(7%),(9%),(0.2%),7%,10%,0.5,29.2,$232,947,$252,$248,114%,0.6x
CrowdStrike,$362.24,0.0%,10%,"$90,230","$86,735",20.4x,18.1x,23.3x,71.4x,0.86x,"$4,242",$224,"$3,954",23%,29%,21%,78%,32%,19%,6%,57%,21%,27%,25%,56%,46%,0.7,23.1,-,-,$419,$240,112%,10.4x
CS Disco,$4.47,(14%),(45%),$270,$150,1.0x,1.0x,1.3x,-,0.23x,$148,$3,$145,4%,5%,4%,75%,39%,30%,22%,91%,(16%),(8%),(9%),(3%),(4%),0.2,74.8,-,-,$264,$236,-,0.1x
CyberArk,$351.76,10%,30%,"$17,430","$16,619",13.2x,12.6x,15.2x,59.1x,0.40x,"$1,258",$297,"$1,001",41%,33%,32%,84%,41%,21%,10%,72%,12%,22%,21%,55%,52%,3.1,4.6,$132,"9,500",$296,$206,-,21.2x
*Datadog,$105.03,(30%),(15%),"$36,787","$34,440",11.7x,10.8x,13.2x,40.9x,0.56x,"$2,951",$191,"$2,684",25%,26%,19%,72%,23%,28%,5%,57%,15%,29%,25%,55%,45%,1.2,13.6,$98,"30,000",$454,$261,110%,3.8x
Dayforce,$58.50,(22%),(17%),"$9,267","$9,920",5.3x,5.1x,10.5x,40.4x,0.51x,"$1,861",$101,"$1,760",16%,16%,10%,46%,19%,-,21%,50%,(4%),10%,12%,26%,22%,1.2,21.9,$271,"6,876",$176,$83,-,2.5x
DigitalOcean,$36.89,3%,(7%),"$3,432","$4,699",5.7x,5.3x,8.6x,29.8x,0.40x,$820,$26,$781,13%,13%,13%,61%,7%,14%,16%,37%,25%,12%,18%,25%,31%,1.7,11.2,$5,"165,000",$677,$239,99%,0.8x
Docebo,$30.09,(35%),(57%),$916,$825,3.6x,3.4x,4.2x,19.9x,0.30x,$228,$6,$217,16%,20%,11%,81%,31%,20%,13%,67%,14%,13%,17%,33%,28%,0.4,40.0,$57,"3,978",$230,$153,100%,0.6x
DocuSign,$88.06,(7%),50%,"$17,835","$16,995",5.6x,5.4x,6.7x,17.4x,0.69x,"$3,019",$75,"$2,913",8%,8%,8%,65%,32%,13%,9%,53%,12%,31%,30%,38%,38%,0.3,-,$2,"1,600,000",$450,$238,100%,3.0x
*Domo,$8.29,16%,(12%),$324,$410,1.3x,1.3x,1.7x,-,-,$315,($4),$317,(2%),(0.6%),(0.8%),76%,41%,22%,13%,76%,0.2%,(6%),1%,(6%),0.2%,-,-,$128,"2,500",$335,$248,-,0.4x
DoubleVerify,$14.08,(29%),(58%),"$2,337","$2,118",2.8x,2.9x,3.6x,15.5x,0.28x,$762,$84,$657,11%,15%,10%,82%,21%,18%,10%,54%,28%,17%,19%,32%,30%,2.5,5.8,$381,"2,000",$637,$276,124%,0.5x
Doximity,$62.99,9%,125%,"$12,677","$11,845",17.6x,19.2x,21.1x,42.2x,1.56x,$674,$127,$550,25%,17%,12%,92%,20%,13%,5%,39%,54%,42%,46%,60%,58%,4.8,2.7,-,-,$811,$273,117%,2.4x
Dropbox,$26.50,(12%),9%,"$7,998","$9,401",3.7x,3.6x,4.3x,10.8x,1.40x,"$2,574",$19,"$2,548",1%,2%,3%,84%,16%,24%,7%,48%,36%,34%,32%,36%,35%,0.2,76.0,$4,"575,000","$1,168",$540,-,1.2x
Dynatrace,$49.82,(9%),7%,"$14,979","$14,046",8.1x,7.5x,8.9x,29.0x,0.53x,"$1,745",$72,"$1,634",19%,20%,14%,84%,31%,16%,8%,56%,29%,25%,25%,45%,40%,0.6,24.2,$381,"4,000",$324,$192,111%,3.0x
Elastic,$97.21,(6%),(4%),"$10,261","$9,565",6.3x,5.9x,7.7x,39.5x,0.43x,"$1,528",$67,"$1,430",17%,18%,14%,77%,36%,18%,9%,63%,14%,17%,15%,35%,28%,0.5,28.7,$72,"21,350",$449,$269,112%,2.6x
Enfusion,$11.10,4%,20%,"$1,052","$1,044",4.9x,4.4x,6.4x,33.7x,0.25x,$212,$7,$202,14%,16%,18%,69%,12%,11%,33%,47%,22%,15%,13%,31%,31%,1.2,14.4,$231,916,$185,$97,102%,0.7x
EverCommerce,$10.08,(10%),12%,"$1,849","$2,259",3.2x,3.5x,5.3x,19.1x,-,$705,($5),$693,0.9%,4%,(6%),66%,17%,11%,14%,42%,24%,12%,17%,15%,11%,-,-,$1,"690,000",$353,$145,91%,0.6x
Expensify,$3.25,(10%),75%,$301,$258,1.7x,1.7x,2.8x,15.0x,0.25x,$148,$6,$139,5%,(8%),7%,63%,8%,9%,23%,39%,24%,12%,12%,4%,19%,2.5,7.9,-,-,"$1,287",$426,-,0.1x
Fastly,$7.11,(29%),(45%),"$1,012","$1,121",2.0x,1.9x,3.3x,-,0.30x,$562,$13,$544,2%,7%,7%,58%,29%,19%,14%,63%,(5%),(4%),(3%),4%,4%,0.4,57.6,$178,"3,097",$511,$304,-,0.4x
Five9,$30.14,(29%),(51%),"$2,285","$2,512",2.3x,2.2x,3.6x,21.1x,0.22x,"$1,115",$58,"$1,042",17%,14%,10%,62%,25%,12%,7%,43%,19%,8%,10%,22%,20%,0.9,20.1,$372,"3,000",$363,$147,108%,4.2x
Freshworks,$15.54,1%,(16%),"$4,699","$3,668",4.7x,4.5x,5.3x,16.6x,0.34x,$778,$32,$720,22%,21%,13%,86%,44%,17%,10%,72%,14%,20%,26%,41%,39%,0.4,36.2,$11,"72,200",$177,$116,103%,0.4x
GitLab,$50.95,(15%),(15%),"$8,572","$7,625",9.0x,8.1x,8.9x,48.1x,0.33x,$846,$62,$759,29%,31%,24%,91%,41%,24%,16%,81%,10%,(9%),17%,22%,42%,0.8,16.8,$82,"9,519",$308,$257,123%,0.7x
Guidewire,$191.54,9%,69%,"$16,206","$15,922",13.8x,12.7x,19.9x,64.8x,0.84x,"$1,158",$106,"$1,085",20%,17%,15%,65%,16%,22%,12%,50%,15%,0.5%,19%,18%,34%,2.6,7.1,-,-,$334,$156,-,14.3x
HubSpot,$606.27,(16%),(2%),"$32,259","$30,934",11.0x,10.3x,12.0x,56.1x,0.72x,"$2,813",$134,"$2,628",21%,21%,14%,86%,41%,20%,8%,69%,18%,18%,18%,39%,33%,0.5,28.3,$11,"247,939",$341,$231,-,24.4x
Intapp,$60.95,(6%),73%,"$5,025","$4,762",9.8x,8.9x,11.8x,40.4x,0.57x,$485,$10,$465,17%,19%,16%,76%,26%,23%,15%,63%,13%,18%,21%,37%,37%,0.3,50.0,$183,"2,650",$370,$238,-,2.3x
Intuit,$604.04,(6%),(7%),"$169,038","$173,471",10.9x,9.0x,11.0x,27.9x,0.73x,"$15,852","$2,720","$17,167",17%,14%,12%,82%,24%,13%,7%,44%,39%,33%,32%,47%,44%,3.3,4.6,$0,"100,000,000",$677,$385,-,-
Jamf,$13.17,(10%),(28%),"$1,709","$1,875",2.9x,2.8x,3.4x,15.5x,0.34x,$652,$15,$627,8%,12%,8%,82%,34%,18%,14%,65%,16%,4%,18%,15%,26%,0.3,50.9,$9,"76,500",$251,$161,104%,0.5x
*JFrog,$33.98,10%,(23%),"$3,909","$3,401",7.3x,6.8x,8.1x,32.9x,0.40x,$464,$28,$428,19%,22%,17%,84%,32%,25%,11%,69%,15%,25%,20%,48%,37%,0.8,18.3,$64,"7,300",$290,$189,116%,0.8x
Klaviyo,$33.00,(25%),22%,"$9,961","$9,133",8.5x,7.9x,10.1x,57.1x,0.33x,"$1,081",$140,$937,34%,34%,24%,77%,39%,20%,13%,72%,5%,16%,14%,50%,38%,1.5,10.6,$6,"167,000",$495,$367,108%,1.1x
